Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Mossi,Mossi,12480000,52.0,0.872727,Mooré,"Plateau central (Ouagadougou, Kadiogo)","INSD Burkina, histoire mossi","Royaumes Mossi (Ouagadougou, Yatenga, Tenkodogo)","Groupe majoritaire, organisation monarchique forte, agriculteurs",Sédentaire agricole,Islam + Christianisme + traditions,Gur (Niger-Congo),Royaumes Mossi,"Burkina Faso, Ghana"
Peul / Fulani,"Fulɓe (Mbororo, Peuls sédentaires)",2400000,10.0,0.167832,Fulfulde,"Nord, Sahel, Est",Sources sahéliennes,Chefferies peules & empires pastoraux,Pasteurs nomades et agro-pasteurs,Pastorale & agro-pastorale,Islam,Atlantique (Niger-Congo),Chefferies peules,"Burkina Faso, Niger, Mali"
Gourmantché,Gourmantché,1680000,7.0,0.117483,Gourmantchéma,Est (Fada N’Gourma),Ethnologie gourmantché,Royaumes Gourma,Agriculteurs et chasseurs de savane,Sédentaire,Islam + traditions,Gur,Royaumes gourmantché,"Burkina Faso, Niger, Bénin"
Bobo,Bobo,720000,3.0,0.05035,Bobo,Ouest (Bobo-Dioulasso),Anthropologie de l’Ouest,Anciens royaumes de savane,Agriculteurs et forgerons,Sédentaire,Islam + traditions,Mande,Royaumes Bobo,Burkina Faso
Lobi,"Lobi, Birifor, Téguessié",1200000,5.0,0.083916,"Lobi, Birifor",Sud-Ouest (Gaoua),Ethnologie lobi,Confédérations Lobi,Peuples guerriers & agricoles,Sédentaire,Traditions + Christianisme,Gur,Chefferies Lobi,"Burkina Faso, Côte d’Ivoire, Ghana"
Sénoufo,Sénoufo,1920000,8.0,0.134266,Sénoufo,Sud-Ouest et régions frontalières,Sources régionales,Royaumes Sénoufo,"Agriculteurs, sociétés initiatiques (Poro)",Sédentaire,Islam + traditions,Gur,Royaumes Sénoufo,"Burkina Faso, Mali, Côte d’Ivoire"
Bissa,Bissa,840000,3.5,0.058741,Bissa,Centre-Sud (Koumntenga),Anthropologie locale,Chefferies Bissa,Agriculteurs spécialisés dans l’arachide,Sédentaire,Islam + traditions,Gur,Chefferies Bissa,"Burkina Faso, Ghana"
Toussian & Siamou,"Toussian, Siamou",240000,1.0,0.016783,"Toussian, Siamou",Ouest (Banfora),Ethnologie de l’Ouest,Chefferies locales,Petits groupes forestiers de savane,Sédentaire,Traditions + Christianisme,Gur,Groupes locaux,Burkina Faso
Dogon (Burkina),Dogon,120000,0.5,0.008392,"Dogoso, d'autres variantes",Nord frontaliers Mali,Ethnologie dogon,Royaumes Dogon,Groupes montagnards,Montagnarde,Traditions,Dogon (Niger-Congo),Plateaux dogon,"Mali, Burkina Faso"
Autres,Divers petits groupes,480000,2.0,0.033566,Divers,National,INSD estimations,Divers royaumes,Communautés mixtes,Variable,Islam / Christianisme / traditions,Divers,Divers,Burkina Faso
