Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Akan,"Ashanti, Fante, Akuapem, Akyem, Kwahu, Bono",15980000,47.0,1.117483,"Twi, Fante","Ashanti, Centre, Est, Côte (Cape Coast, Kumasi)","GSS Ghana, histoire akan","Royaume Ashanti, confédérations akan","Groupe majoritaire du Ghana, matrilinéaire, puissantes chefferies",Sédentaire agricole & urbaine,Christianisme + traditions,Kwa (Niger-Congo),Empire Ashanti,"Ghana, Côte d’Ivoire"
Mole-Dagbani,"Dagomba, Mamprusi, Nanumba",5440000,16.0,0.38042,"Dagbani, Mampruli","Nord (Tamale, Yendi, Gushegu)",Ethnologie nord-ghanéenne,Royaumes Dagomba et Mamprusi,Peuples agricoles et royaux du Nord,Sédentaire,Islam + Christianisme,Gur,Royaumes du Nord,Ghana
Ewe,Ewe,4760000,14.0,0.332867,Ewe,"Volta, Sud-Est",Histoire ewe,Royaumes Anlo Ewe,"Peuple côtier et de savane, transfrontalier",Sédentaire & littorale,Christianisme + traditions,Kwa,Royaumes Anlo,"Ghana, Togo"
Ga-Dangme,"Ga, Adangme",2550000,7.5,0.178322,"Ga, Adangme",Grand Accra,Anthropologie côtière,Chefferies Ga,Population côtière de la capitale,Urbaine & littorale,Christianisme,Kwa,Chefferies Ga,Ghana
Guan,"Guan, sous-groupes divers",1700000,5.0,0.118881,Langues guan,Centre-Est,Sources ethnologiques,Chefferies Guan,Peuples anciens du Ghana central,Sédentaire,Christianisme + traditions,Kwa / Gur,Chefferies Guan,Ghana
Gurma / Bissa,"Gurma, Bissa",1020000,3.0,0.071329,"Gurma, Bissa",Nord-Est,Anthropologie Gur,Royaumes Gurma,Populations transfrontalières Burkina–Togo–Ghana,Sédentaire,Islam + traditions,Gur,Royaumes Gurma,"Burkina Faso, Ghana, Togo"
Mamprusi,Mamprusi,680000,2.0,0.047552,Mampruli,Nord,Ethnologie ghanéenne,Royaume Mamprusi,Peuple royal du Nord,Sédentaire,Islam,Gur,Royaume Mamprusi,Ghana
Keta & Nzema,"Nzema, Ahanta, autres côtiers",850000,2.5,0.059441,"Nzema, Ahanta","Ouest (Axim, Ankobra)",Sources littorales,Chefferies côtières ouest,Pêcheurs & agriculteurs côtiers,Littorale,Christianisme,Kwa,Chefferies Nzema,Ghana
Autochtones forestiers,"Abron forestiers, petits groupes",170000,0.5,0.011888,Diverses langues,Forêt de l’Ouest,Anthropologie,Chefferies locales anciennes,Groupes de forêt tropicale,Forestière,Traditions,Kwa,Local,Ghana
Autres,Minorités diverses,340000,1.0,0.023776,Divers,National,Estimations diverses,Divers royaumes,Communautés variées,Variable,Christianisme / Islam / traditions,Divers,Divers,Ghana
