Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Bambara / Mandé du Sud,"Bambara, Malinké du Sud",6900000,30.0,0.482517,"Bambara, Mandingue","Bamako, Ségou, Koulikoro","INSTAT Mali, histoire mandé",Empire du Mali,"Groupe agricole majeur, héritier direct du monde mandingue",Sédentaire agricole,Islam + traditions,Mandé (Niger-Congo),Empire du Mali,"Mali, Guinée, Côte d’Ivoire"
Peul / Fulani,"Fulɓe, Mbororo, Toucouleur",3910000,17.0,0.273427,Fulfulde,"Macina, Mopti, Ségou",Ethnologie sahélienne,Empire peul du Macina,Pasteurs nomades et agro-pasteurs,Pastorale & agro-pastorale,Islam,Atlantique (Niger-Congo),Empire du Macina,"Mali, Niger, Guinée, Burkina"
Soninké,"Soninké, Sarakhollé",2070000,9.0,0.144755,Soninké,Ouest (Kayes),Histoire Soninké,Empire du Ghana,Peuple ancien du commerce transsaharien,Sédentaire & commerçante,Islam,Mandé,Empire du Ghana,"Mali, Mauritanie, Sénégal"
Malinké (Nord),"Malinké, Diakhanké",2760000,12.0,0.193007,Malinké,Ouest & Sud-Ouest,Sources mandingues,Empire du Mali,Important peuple agricole & islamisé,Sédentaire,Islam,Mandé,Empire du Mali,"Mali, Guinée"
Dogon,Dogon (toutes confédérations),1380000,6.0,0.096503,Dogon,Plateau de Bandiagara,Anthropologie Dogon,Royaumes Dogon,Peuple montagnard à forte tradition cosmologique,Montagnarde,Traditions + Islam,Dogon (Niger-Congo),Royaumes Dogon,Mali
Touareg,"Kel Adagh, Iwellemmeden, Imghad",1840000,8.0,0.128671,Tamasheq,"Nord (Kidal, Tombouctou, Gao)",Études sahéliennes,Confédérations touaregs,Pasteurs nomades du Sahara,Nomade,Islam,Berbère (Afro-asiatique),Confédérations Kel,"Mali, Niger, Algérie"
Songhaï,"Songhaï, Zarma",2300000,10.0,0.160839,Songhaï,"Gao, Tombouctou",Histoire Songhaï,Empire Songhaï,"Peuple fluvial, commerçant et guerrier",Fluviale & agricole,Islam,Nilo-saharien influencé,Empire Songhaï,"Mali, Niger"
Bozo,Bozo,920000,4.0,0.064336,Bozo,"Rives du Niger (Mopti, Djenné)",Anthropologie fluviale,Chefferies Bozo,Pêcheurs traditionnels du Niger,Fluviale,Islam + traditions,Niger-Congo,Peuples Bozo,Mali
Bobo (Mali),Bobo,460000,2.0,0.032168,Bobo,Sud (Sikasso),Sources régionales,Chefferies Bobo,Agriculteurs & forgerons,Sédentaire,Islam + traditions,Mandé,Royaumes Bobo,"Mali, Burkina Faso"
Minianka,Minianka,575000,2.5,0.04021,Minianka,Sud (Koutiala),Ethnologie Minianka,Chefferies Minianka,Groupe agricole important,Sédentaire,Islam + traditions,Gur,Groupes Minianka,Mali
Sénoufo,Sénoufo,575000,2.5,0.04021,Sénoufo,Sud (Sikasso),Anthropologie Sénoufo,Royaumes Sénoufo,"Peuple initiatique Poro, agriculteur",Sédentaire,Islam + traditions,Gur,Royaumes Sénoufo,"Mali, Côte d’Ivoire"
Autres,Petits groupes dispersés,230000,1.0,0.016084,Divers,National,INSTAT estimations,Divers royaumes,Groupes variés,Variable,Islam / Christianisme / traditions,Divers,Divers,Mali
