Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Hausa-Fulani,"Hausa, Fulani",68100000,30.0,4.762238,"Hausa, Fulfulde","Nord (Kano, Kaduna, Sokoto)","NBS Nigeria, ethnologie sahélienne","Califat de Sokoto, cités haoussa","Groupe majoritaire du nord, islamisé tôt",Urbaine & pastorale,Islam sunnite,"Chadique (Hausa), Atlantique (Fulani)",Califat de Sokoto,"Nigeria, Niger, Cameroun"
Yoruba,"Oyo, Ife, Egba, Ijebu, Ekiti…",34050000,15.0,2.381119,Yoruba,"Sud-Ouest (Lagos, Ibadan, Abeokuta)","NBS Nigeria, histoire yoruba","Royaumes Oyo, Ife",Grande civilisation urbaine,Urbaine & agricole,Christianisme + Islam + traditions,Niger-Congo,Royaume d’Oyo,"Nigeria, Bénin, Togo"
Igbo,"Igbo, sous-groupes claniques",36320000,16.0,2.53986,Igbo,"Sud-Est (Enugu, Anambra, Imo)",NBS Nigeria,"Royaumes igbo, confédérations locales",Population très commerçante et urbaine,Urbaine,Christianisme,Niger-Congo (igboïde),Confédérations Igbo,Nigeria
Ijaw,Ijaw occidentaux & orientaux,15890000,7.0,1.111189,Ijaw,Delta du Niger,Anthropologie du delta,Chefferies du delta,Peuples fluviaux pêcheurs,Fluviale & maritime,Christianisme + traditions,Niger-Congo (ijoid),Chefferies Ijaw,Nigeria
Kanuri,"Kanembu, Yerwa",9080000,4.0,0.634965,Kanuri,"Nord-Est (Borno, Yobe)",Histoire du Bornou,Empire du Kanem-Bornou,Ancien empire sahélien,Sédentaire & pastorale,Islam,Nilo-saharienne,Kanem-Bornou,"Tchad, Niger, Nigeria"
Tiv,Tiv,6810000,3.0,0.476224,Tiv,"Centre (Benue, Taraba)",Sources ethnologiques,Chefferies Tiv,Agriculteurs du centre,Sédentaire agricole,Christianisme,Niger-Congo (bantoïde),Chefferies Tiv,Nigeria
Ibibio,Ibibio,5675000,2.5,0.396853,Ibibio,Sud (Akwa Ibom),Anthropologie côtière,Royaumes Ibibio,Population du golfe de Guinée,Côtière & agricole,Christianisme,Niger-Congo (Cross River),Royaumes Ibibio,Nigeria
Edo,Bini (Edo),3405000,1.5,0.238112,Edo,État d’Edo (Benin City),Histoire du royaume de Benin,Royaume du Bénin,Grande civilisation artistique,Urbaine,Christianisme + traditions,Niger-Congo (édoïde),Royaume du Benin,Nigeria
Nupe,Nupe,2270000,1.0,0.158741,Nupe,Centre-Nord (Niger State),Ethnologie nigériane,Royaume Nupe,Agriculteurs et artisans,Sédentaire agricole,Islam & christianisme,Niger-Congo,Royaume Nupe,Nigeria
Gwari / Gbagyi,Gbagyi,3405000,1.5,0.238112,Gbagyi,"Centre (Abuja, Niger State)",Anthropologie,Chefferies Gbagyi,Population locale du centre,Sédentaire,Christianisme,Niger-Congo,Chefferies Gbagyi,Nigeria
Jukun,Jukun,2270000,1.0,0.158741,Jukun,Centre-Est (Taraba),Histoire du Kororofa,Confédération Jukun,Ancienne entité militaire de la région,Sédentaire agricole,Christianisme + traditions,Benue-Congo,Confédération Kororofa,Nigeria
Autres,Plus de 250 groupes minoritaires,15890000,7.0,1.111189,Diverses langues nigéro-congolaises,National,NBS Nigeria,Divers royaumes locaux,Mosaïque culturelle du Nigeria,Variable,Christianisme / Islam / traditions,Divers,Divers,Nigeria
