ETH_ID,PPL_ID,FLG_ID,nom_ethnie,fichier_ETH_canonique,priorite
ETH_AARI_AARI_DU_NORD,PPL_AARI,FLG_OMOTIQUE,Aari du nord,dataset/source/afrik/ethnies/PPL_AARI/ETH_AARI_AARI_DU_NORD.txt,normal
ETH_AARI_AARI_DU_SUD,PPL_AARI,FLG_OMOTIQUE,Aari du sud,dataset/source/afrik/ethnies/PPL_AARI/ETH_AARI_AARI_DU_SUD.txt,normal
ETH_AARI_GROUPES_AGROPASTORAUX_LOCAUX,PPL_AARI,FLG_OMOTIQUE,Groupes agropastoraux locaux,dataset/source/afrik/ethnies/PPL_AARI/ETH_AARI_GROUPES_AGROPASTORAUX_LOCAUX.txt,normal
ETH_ACHOLI_ACHOLI_D_OUGANDA,PPL_ACHOLI,FLG_NILOTIQUE,Acholi d'Ouganda,dataset/source/afrik/ethnies/PPL_ACHOLI/ETH_ACHOLI_ACHOLI_D_OUGANDA.txt,normal
ETH_ACHOLI_ACHOLI_DU_SOUDAN_DU_SUD,PPL_ACHOLI,FLG_NILOTIQUE,Acholi du Soudan du Sud,dataset/source/afrik/ethnies/PPL_ACHOLI/ETH_ACHOLI_ACHOLI_DU_SOUDAN_DU_SUD.txt,normal
ETH_ADJA_ADJA_DU_TOGO_PLATEAUX,PPL_ADJA,FLG_BENOUECONGO,Adja du Togo (Plateaux),dataset/source/afrik/ethnies/PPL_ADJA/ETH_ADJA_ADJA_DU_TOGO_PLATEAUX.txt,normal
ETH_ADJA_ADJA_DU_BENIN_MONO_COUFFO,PPL_ADJA,FLG_BENOUECONGO,"Adja du Bénin (Mono, Couffo)",dataset/source/afrik/ethnies/PPL_ADJA/ETH_ADJA_ADJA_DU_BENIN_MONO_COUFFO.txt,normal
ETH_AFAR_AFAR_ASSAIMARA,PPL_AFAR,FLG_COUCHITIQUE,Afar Assaïmara,dataset/source/afrik/ethnies/PPL_AFAR/ETH_AFAR_AFAR_ASSAIMARA.txt,normal
ETH_AFAR_AFAR_ADOYTA,PPL_AFAR,FLG_COUCHITIQUE,Afar Adoyta,dataset/source/afrik/ethnies/PPL_AFAR/ETH_AFAR_AFAR_ADOYTA.txt,normal
ETH_AFAR_AFAR_WE_IMA,PPL_AFAR,FLG_COUCHITIQUE,Afar We’ima,dataset/source/afrik/ethnies/PPL_AFAR/ETH_AFAR_AFAR_WE_IMA.txt,normal
ETH_AFEMAI_ETSAKO,PPL_AFEMAI,FLG_BENOUECONGO,Etsako,dataset/source/afrik/ethnies/PPL_AFEMAI/ETH_AFEMAI_ETSAKO.txt,normal
