PPL_ID,FLG_ID,ethnie_label_brut,source_index,source_inventaire,source_ppl_ethnies,source_labels,ETH_ID_proposé,fichier_ETH_existant,statut_generation,niveau,notes_convergence
PPL_AARI,FLG_OMOTIQUE,Aari du nord,1,1,1,Aari du nord,ETH_AARI_AARI_DU_NORD,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AARI_AARI_DU_NORD.txt,existant,ethnie_certaine,
PPL_AARI,FLG_OMOTIQUE,Aari du sud,1,1,1,Aari du sud,ETH_AARI_AARI_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AARI_AARI_DU_SUD.txt,existant,ethnie_certaine,
PPL_AARI,FLG_OMOTIQUE,Groupes agropastoraux locaux,1,1,1,Groupes agropastoraux locaux,ETH_AARI_GROUPES_AGROPASTORAUX_LOCAUX,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AARI_GROUPES_AGROPASTORAUX_LOCAUX.txt,existant,ethnie_certaine,
PPL_ACHOLI,FLG_NILOTIQUE,Acholi d'Ouganda,1,1,1,Acholi d'Ouganda,ETH_ACHOLI_ACHOLI_D_OUGANDA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_ACHOLI_ACHOLI_D_OUGANDA.txt,existant,ethnie_certaine,
PPL_ACHOLI,FLG_NILOTIQUE,Acholi du Soudan du Sud,1,1,1,Acholi du Soudan du Sud,ETH_ACHOLI_ACHOLI_DU_SOUDAN_DU_SUD,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_ACHOLI_ACHOLI_DU_SOUDAN_DU_SUD.txt,existant,ethnie_certaine,
PPL_ADJA,FLG_BENOUECONGO,Adja du Togo (Plateaux),1,1,1,Adja du Togo (Plateaux),ETH_ADJA_ADJA_DU_TOGO_PLATEAUX,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_ADJA_ADJA_DU_TOGO_PLATEAUX.txt,existant,ethnie_certaine,
PPL_ADJA,FLG_BENOUECONGO,"Adja du Bénin (Mono, Couffo)",1,1,1,"Adja du Bénin (Mono, Couffo)",ETH_ADJA_ADJA_DU_BENIN_MONO_COUFFO,,manquant,ethnie_certaine,
PPL_ADJA,FLG_BENOUECONGO,"Sous-groupes : Dogbo, Tado, etc.",1,1,1,"Sous-groupes : Dogbo, Tado, etc.",,,manquant,macro_ou_agrégat,
PPL_AFAR,FLG_COUCHITIQUE,Afar Assaïmara,1,1,1,Afar Assaïmara,ETH_AFAR_AFAR_ASSAIMARA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AFAR_AFAR_ASSAIMARA.txt,existant,ethnie_certaine,
PPL_AFAR,FLG_COUCHITIQUE,Afar Adoyta,1,1,1,Afar Adoyta,ETH_AFAR_AFAR_ADOYTA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AFAR_AFAR_ADOYTA.txt,existant,ethnie_certaine,
PPL_AFAR,FLG_COUCHITIQUE,Afar We’ima,1,1,1,Afar We’ima,ETH_AFAR_AFAR_WE_IMA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AFAR_AFAR_WE_IMA.txt,existant,ethnie_certaine,
PPL_AFEMAI,FLG_BENOUECONGO,Etsako,1,1,1,Etsako,ETH_AFEMAI_ETSAKO,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AFEMAI_ETSAKO.txt,existant,ethnie_certaine,
PPL_AFEMAI,FLG_BENOUECONGO,Owan,1,1,1,Owan,ETH_AFEMAI_OWAN,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AFEMAI_OWAN.txt,existant,ethnie_certaine,
PPL_AFEMAI,FLG_BENOUECONGO,Akoko-Edo,1,1,1,Akoko-Edo,ETH_AFEMAI_AKOKO_EDO,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AFEMAI_AKOKO_EDO.txt,existant,ethnie_certaine,
PPL_AGAW,FLG_COUCHITIQUE,Awi,1,1,1,Awi,ETH_AGAW_AWI,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AGAW_AWI.txt,existant,ethnie_certaine,
PPL_AGAW,FLG_COUCHITIQUE,Qimant (Qemant),1,1,1,Qimant (Qemant),ETH_AGAW_QIMANT_QEMANT,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AGAW_QIMANT_QEMANT.txt,existant,ethnie_certaine,
PPL_AGAW,FLG_COUCHITIQUE,Xamir,1,1,1,Xamir,ETH_AGAW_XAMIR,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AGAW_XAMIR.txt,existant,ethnie_certaine,
PPL_AIT_ATTA,FLG_BERBERE,Aït Yahya,1,1,1,Aït Yahya,ETH_AIT_ATTA_AIT_YAHYA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AIT_ATTA_AIT_YAHYA.txt,existant,ethnie_certaine,
PPL_AIT_ATTA,FLG_BERBERE,Aït Ouazik,1,1,1,Aït Ouazik,ETH_AIT_ATTA_AIT_OUAZIK,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AIT_ATTA_AIT_OUAZIK.txt,existant,ethnie_certaine,
PPL_AIT_ATTA,FLG_BERBERE,Aït Ouhman,1,1,1,Aït Ouhman,ETH_AIT_ATTA_AIT_OUHMAN,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AIT_ATTA_AIT_OUHMAN.txt,existant,ethnie_certaine,
PPL_AIT_ATTA,FLG_BERBERE,Divers sous-clans nomades du Saghro,1,1,1,Divers sous-clans nomades du Saghro,ETH_AIT_ATTA_DIVERS_SOUS_CLANS_NOMADES_DU_SAGHRO,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AIT_ATTA_DIVERS_SOUS_CLANS_NOMADES_DU_SAGHRO.txt,existant,sous_ethnie_ou_clan,
PPL_AIT_HDZ,FLG_BERBERE,Aït Yafelman,1,1,1,Aït Yafelman,ETH_AIT_HDZ_AIT_YAFELMAN,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AIT_HDZ_AIT_YAFELMAN.txt,existant,ethnie_certaine,
PPL_AIT_HDZ,FLG_BERBERE,Aït Ouirra,1,1,1,Aït Ouirra,ETH_AIT_HDZ_AIT_OUIRRA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AIT_HDZ_AIT_OUIRRA.txt,existant,ethnie_certaine,
PPL_AIT_HDZ,FLG_BERBERE,Aït Sukhman,1,1,1,Aït Sukhman,ETH_AIT_HDZ_AIT_SUKHMAN,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AIT_HDZ_AIT_SUKHMAN.txt,existant,ethnie_certaine,
PPL_AIT_HDZ,FLG_BERBERE,Divers groupes montagnards amazighs,1,1,1,Divers groupes montagnards amazighs,ETH_AIT_HDZ_DIVERS_GROUPES_MONTAGNARDS_AMAZIGHS,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AIT_HDZ_DIVERS_GROUPES_MONTAGNARDS_AMAZIGHS.txt,existant,ethnie_certaine,
PPL_AKAN,FLG_NIGERCONGO,Ashanti,1,1,1,Ashanti,ETH_AKAN_ASHANTI,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AKAN_ASHANTI.txt,existant,ethnie_certaine,
PPL_AKAN,FLG_NIGERCONGO,Fanti,1,1,1,Fanti,ETH_AKAN_FANTI,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AKAN_FANTI.txt,existant,ethnie_certaine,
PPL_AKAN,FLG_NIGERCONGO,Akuapem,1,1,1,Akuapem,ETH_AKAN_AKUAPEM,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AKAN_AKUAPEM.txt,existant,ethnie_certaine,
PPL_AKAN,FLG_NIGERCONGO,Akyem,1,1,1,Akyem,ETH_AKAN_AKYEM,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AKAN_AKYEM.txt,existant,ethnie_certaine,
PPL_AKAN,FLG_NIGERCONGO,Brong,1,1,1,Brong,ETH_AKAN_BRONG,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AKAN_BRONG.txt,existant,ethnie_certaine,
PPL_AKAN,FLG_NIGERCONGO,Nzema,1,1,1,Nzema,ETH_AKAN_NZEMA,dataset/source/afrik/ethnies/ethnies_batch8_ethnies_certaines (1)/ETH_AKAN_NZEMA.txt,existant,ethnie_certaine,
