Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Nguni,Zulu,11160000,18.0,0.78042,isiZulu,KwaZulu-Natal,Sources historiques et ethnolinguistiques,"Royaumes zoulous (Shaka, Dingane)","Groupe Nguni majoritaire, héritier du royaume zoulou",Sédentaire agricole et urbaine,Christianisme + traditions,Bantu (Nguni),Royaume zoulou,Afrique du Sud
Nguni,Xhosa (AmaXhosa),9300000,15.0,0.65035,isiXhosa,Eastern Cape,Sources historiques,Royaumes Xhosa,Deuxième groupe Nguni le plus important,Agricole & littorale,Christianisme + traditions,Bantu (Nguni),Royaumes Xhosa,Afrique du Sud
Nguni,Swazi (siSwati),1860000,3.0,0.13007,siSwati,Mpumalanga,Sources ethnologiques,Royaume Swazi,Population Nguni liée à l’Eswatini,Sédentaire,Christianisme,Bantu (Nguni),Royaume Swazi,"Afrique du Sud, Eswatini"
Nguni,Ndebele,1240000,2.0,0.086713,isiNdebele,"Gauteng, Mpumalanga",Sources ethnologiques,Chefferies ndebele,Groupe Nguni migrant du nord,Sédentaire,Christianisme + traditions,Bantu (Nguni),Chefferies Ndebele,Afrique du Sud
Sotho-Tswana,Northern Sotho (Pedi),5580000,9.0,0.39021,Sepedi,Limpopo,Sources linguistiques,Chefferies Pedi,Groupe majeur du nord,Sédentaire agricole,Christianisme,Bantu (Sotho-Tswana),Royaume Pedi,Afrique du Sud
Sotho-Tswana,Southern Sotho (Basotho),4960000,8.0,0.346853,Sesotho,Free State,Sources historiques,Royaumes basotho,Peuple partagé avec le Lesotho,Sédentaire,Christianisme,Bantu (Sotho-Tswana),Royaume Basotho,Afrique du Sud & Lesotho
Sotho-Tswana,Tswana,2480000,4.0,0.173427,Setswana,North West Province,Sources ethnologiques,Royaumes Tswana,Groupe transfrontalier avec le Botswana,Sédentaire,Christianisme,Bantu (Sotho-Tswana),Royaumes Tswana,Botswana & Afrique du Sud
Tsonga,Tsonga/Shangaan,2480000,4.0,0.173427,Xitsonga,"Limpopo, Mpumalanga",Sources ethnologiques,Chefferies Tsonga,Population du nord-est,Sédentaire,Christianisme + traditions,Bantu,Chefferies Tsonga,Mozambique & Afrique du Sud
Venda,Venda,1240000,2.0,0.086713,Tshivenda,Limpopo,Sources ethnologiques,Royaumes Venda,Peuple ancien du nord,Sédentaire,Christianisme + traditions,Bantu,Royaumes Venda,Afrique du Sud
Autres,Communautés métisses (Coloured),5580000,9.0,0.39021,"Afrikaans, anglais",Western Cape,Stats SA,Colonie du Cap,Population métissée historique,Urbaine,Christianisme,Créole africaans,Colonie du Cap,Afrique du Sud
Autres,Communautés indiennes,1550000,2.5,0.108392,Anglais + langues indo-aryennes,KwaZulu-Natal,Stats SA,Empire britannique,Descendants des travailleurs indiens,Urbaine,Hindouisme + Islam + Christianisme,Indo-aryenne,Colonie britannique,Inde & Afrique du Sud
Autres,Communautés européennes,4340000,7.0,0.303497,"Afrikaans, anglais",National,Stats SA,"Colonie du Cap, colonisation hollandaise","Descendants néerlandais, britanniques",Urbaine,Christianisme,Germanique,Colonie du Cap,Afrique du Sud
