Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Luba,"Baluba du Kasaï, Baluba du Katanga",18360000,18.0,1.283916,Tshiluba,"Kasaï, Katanga (Haut-Lomami, Lualaba)","Ethnologie du Congo, sources historiques",Royaume Luba,"Grand peuple bantu du centre-sud, forte tradition politique",Sédentaire & agricole,Christianisme + traditions,Bantu,Royaume Luba,RDC
Kongo,"Bakongo, Vili, Yombe",12240000,12.0,0.855944,Kikongo,"Kongo Central, Kinshasa ouest",Histoire du Royaume Kongo,Royaume Kongo,Peuple ancien du littoral ouest,Sédentaire & commerçante,Christianisme,Bantu,Royaume Kongo,"RDC, Congo, Angola"
Mongo,"Nkundo, Ntomba, Ekonda",17340000,17.0,1.212587,Lomongo,Cuvette centrale,Anthropologie congolaise,Chefferies Mongo,Un des plus grands groupes forestiers,Forestière & agricole,Christianisme,Bantu,Chefferies Mongo,RDC
Tetela,Batetela,7140000,7.0,0.499301,Tetela,Sankuru,Sources historiques,Chefferies Tetela,Agriculteurs du centre,Sédentaire,Christianisme,Bantu,Chefferies Tetela,RDC
Lunda-Chokwe,"Lunda, Chokwe",4080000,4.0,0.285315,"Lunda, Chokwe",Katanga & frontières angolaises,Histoire de l’Empire Lunda,Empire Lunda,"Peuples transfrontaliers, chasse et artisanat",Semi-nomade & agricole,Christianisme + traditions,Bantu,Empire Lunda,"RDC, Angola, Zambie"
Ituri,"Hema, Lendu",3060000,3.0,0.213986,"Hema, Lendu",Ituri,Études de l’Ituri,Chefferies Hema et Lendu,Groupes nilotiques et bantu en cohabitation historique,Agro-pastorale,Christianisme + traditions,Nilotique (Hema) / Bantu (Lendu),Chefferies locales,RDC
Nande,Banande,2550000,2.5,0.178322,Kinande,Nord-Kivu,Anthropologie du Kivu,Royaumes nande,Groupes montagnards du Kivu,Montagnarde agricole,Christianisme,Bantu,Chefferies Nande,RDC
Hunde,Bahunde,1530000,1.5,0.106993,Hunde,Nord-Kivu,Anthropologie du Kivu,Chefferies Hunde,Population montagnarde,Montagnarde,Christianisme + traditions,Bantu,Chefferies Hunde,RDC
Grands Lacs,"Hutu, Tutsi",3060000,3.0,0.213986,Kinyarwanda,"Sud-Kivu, Nord-Kivu",Histoire des Grands Lacs,Royaumes rwandais,Groupes transfrontaliers,Agro-pastorale,Christianisme,"Bantu (Hutu), Nilotique (Tutsi)",Royaumes du Rwanda ancien,"Rwanda, Burundi, RDC"
Bemba,Bemba,1020000,1.0,0.071329,Bemba,Katanga sud,Sources transfrontalières,Royaumes Bemba,Population du sud Katanga,Sédentaire agricole,Christianisme,Bantu,Royaume Bemba,"Zambie, RDC"
Peuples de forêt,"Mbuti, Efe, Aka",1020000,1.0,0.071329,Langues oubanguiennes et bantu,"Ituri, forêts profondes",Anthropologie forestière,Peuples autochtones de la forêt,Chasseurs-cueilleurs,Nomade forestière,Traditions,Oubanguien + Bantu,Peuples pygmées d’Afrique centrale,"RDC, Ouganda"
Autres,Plus de 200 micro-groupes,15300000,15.0,1.06993,Diverses langues,Tout le pays,Estimations générales,Divers royaumes et chefferies,Mosaïque culturelle exceptionnelle,Variable,Christianisme / Islam / traditions,Divers,Divers,RDC
