Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Oromo,"Oromo (Borana, Guji, Arsi, Macca, Tulama)",42840000,34.0,2.995804,Afaan Oromo,"Oromia (Centre, Sud, Est)","CSA Ethiopia, histoire Oromo",Gadaa (ancien système politique Oromo),"Plus grand groupe d'Éthiopie, système gadaa, pasteurs & agriculteurs",Agro-pastorale,Islam + Christianisme + traditions Waaq,Cushitique (Afro-asiatique),Système Gadaa,"Éthiopie, Kenya"
Amhara,Amhara,34020000,27.0,2.379021,Amharic,"Amhara region, Addis Abeba",Sources historiques éthiopiennes,Empire abyssin,"Groupe politique historiquement dominant, agriculteurs de plateau",Sédentaire agricole,Christianisme orthodoxe,Sémitique (Afro-asiatique),Empire d'Abyssinie,Éthiopie
Tigréen,"Tigrinya, Tigray",8820000,7.0,0.616783,Tigrinya,Tigray,Histoire tigréenne,Royaumes Aksoumites,Peuple ancien lié au royaume d’Aksoum,Sédentaire agricole,Christianisme orthodoxe,Sémitique,Royaume d’Aksoum,"Éthiopie, Érythrée"
Somali éthiopiens,"Dir, Darod, Isaaq, Hawiye",7560000,6.0,0.528671,Somali,Somali Region (Ogaden),Ethnologie Somali,Sultanats somalis,Pasteurs nomades du désert et de la brousse,Nomade,Islam,Cushitique,Sultanats somalis,"Éthiopie, Somalie, Djibouti"
Sidama,Sidama,5040000,4.0,0.352448,Sidama,Sidama Region,CSA Ethiopia,Chefferies Sidama,"Peuple de la zone des lacs, agriculteurs du café",Sédentaire,Christianisme + traditions,Cushitique,Royaumes Sidama,Éthiopie
Guragé,"Silté, Sebat Bet Gurage, Sodo",3780000,3.0,0.264336,Gurage languages,Sud-Ouest et Centre,Historiographie Gurage,Chefferies Gurage,"Artisans, agriculteurs, marchands influents",Sédentaire & urbaine,Christianisme + Islam,Sémitique,Chefferies Gurage,Éthiopie
Afar,Afar,2520000,2.0,0.176224,Afar,Afar Region (Danakil),Anthropologie Afar,Sultanats Afar,Nomades du désert Danakil,Nomade,Islam,Cushitique,Sultanat Afar,"Éthiopie, Djibouti, Érythrée"
Hadiya,Hadiya,2520000,2.0,0.176224,Hadiyya,Hadiya Zone,Ethnologie Cushitique,Chefferies Hadiya,Agriculteurs du sud,Sédentaire,Christianisme,Cushitique,Chefferies locales,Éthiopie
Wolayta,Wolayta,3150000,2.5,0.22028,Wolaytta,Wolayta Zone,Sources régionales,Royaume Wolayta,Ancien royaume résistant à la centralisation,Sédentaire,Christianisme,Omotique (Afro-asiatique),Royaume de Wolayta,Éthiopie
Peuples omotiques,"Shabo, Gamo, Gofa, Bench",3150000,2.5,0.22028,Omotic languages,Sud-Ouest,Ethnologie Omo,Royaumes Omo,Agriculteurs forestiers,Forestière,Christianisme + traditions,Omotique,Royaumes Omotiques,Éthiopie
Autres,"Berta, Gumuz, Mao, Komo, etc.",3780000,3.0,0.264336,Divers,National,CSA estimations,Divers royaumes,Communautés variées,Variable,Islam / Christianisme / traditions,Divers,Divers,Éthiopie
