Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Akan,"Baoulé, Agni, Abron",8120000,28.0,0.567832,"Baoulé, Agni","Centre, Est (Yamoussoukro, Abengourou)","INS Côte d’Ivoire, histoire akan","Royaumes Akan (Baoulé, Agni)","Grand groupe matrilinéaire, agriculteurs et commerçants",Sédentaire agricole,Christianisme + traditions,Kwa (Niger-Congo),Royaumes Akan,"Côte d’Ivoire, Ghana"
Mandé du Nord,"Sénoufo, Mandé, Tagwana",4930000,17.0,0.344755,"Sénoufo, Mandé","Nord (Korhogo, Boundiali)",Sources ethnologiques,Royaume du Kénédougou,Peuples agricoles du Nord,Sédentaire,Islam + traditions,Gur & Mandé,Royaumes sénoufo,"Mali, Burkina Faso, Côte d'Ivoire"
Mandé du Sud,"Dioula, Bambara, Gban",4640000,16.0,0.324476,Dioula,"Nord-Ouest, Centre-Ouest",Histoire mandé,Empire du Mali,"Commerçants et agriculteurs, islamisés tôt",Urbaine & sédentaire,Islam,Mandé,Empire du Mali,"Côte d’Ivoire, Mali, Guinée"
Krou,"Bété, Dida, Wé, Guéré",3190000,11.0,0.223077,"Bété, Wé","Sud-Ouest (Gagnoa, Man)",Ethnologie krou,Royaumes et chefferies Krou,Peuples forestiers du Sud-Ouest,Forestière,Christianisme + traditions,Krou (Niger-Congo),Chefferies Krou,"Côte d’Ivoire, Libéria"
Voltaïques / Gur,"Lobi, Koulango, Birifor",2030000,7.0,0.141958,Gur,Nord-Est (Bouna),Sources régionales,Chefferies Gur,Peuples du Nord-Est transfrontaliers,Sédentaire,Islam + traditions,Gur,Chefferies voltaïques,"Burkina Faso, Côte d'Ivoire"
Lagunaires,"Ébrié, Attié, Avikam, Alladian",2320000,8.0,0.162238,"Ébrié, Attié","Sud (Abidjan, littoral)",Anthropologie côtière,Chefferies lagunaires,"Pêcheurs, agriculteurs et population urbaine",Côtière & urbaine,Christianisme,Kwa,Chefferies lagunaires,Côte d’Ivoire
Malinké,Malinké,1450000,5.0,0.101399,Malinké,Nord-Ouest,Histoire mandé,Empire du Mali,Peuples islamisés du Nord-Ouest,Sédentaire,Islam,Mandé,Empire mandé,"Mali, Guinée, Côte d’Ivoire"
Peuples forestiers,"Oubi, Bakwé, Néyo",290000,1.0,0.02028,Diverses langues krou,Forêts du Sud-Ouest,Anthropologie,Chefferies locales,Groupes de forêt tropicale,Forestière,Traditions,Krou,Peuples autochtones,Côte d’Ivoire
Dioula urbains,Communautés marchandes dioula,870000,3.0,0.060839,Dioula,"Grandes villes (Abidjan, Bouaké)",Histoire commerciale mandé,Réseaux dioula,Importants réseaux marchands transnationaux,Urbaine,Islam,Mandé,Réseaux commerciaux mandé,"Mali, Burkina Faso, Côte d'Ivoire"
Autres,Groupes ivoiriens divers,580000,2.0,0.040559,Divers,National,Estimations diverses,Divers royaumes,Ensemble des petites communautés,Variable,Christianisme / Islam / traditions,Divers,Divers,Côte d'Ivoire
Populations étrangères intégrées,"Burkinabè, Maliens, Guinéens",2030000,7.0,0.141958,"Dioula, Bambara, diverses",Zones urbaines & agricoles,Données migratoires,Migrations ouest-africaines,Main-d'œuvre et populations voisines établies,Urbaine & agricole,Islam + christianisme,"Divers (mandé, gur, krou)",Migrations régionales,Afrique de l’Ouest
