Group,Sub_group,Population_2025,Percentage_in_country,Percentage_in_Africa,Language,Region,Sources,Ancient_Name,Description,Type_de_societe,Religion,Famille_linguistique,Statut_historique,Presence_regionale
Peul / Fulbe,"Peul, Fulakunda, Fouta-Djallon",4620000,33.0,0.323077,Pulaar,"Fouta-Djallon (Labé, Mamou)","INS Guinée, histoire du Fouta-Djallon",Royaume théocratique du Fouta-Djallon,"Groupe majoritaire, islamisé tôt, commerçant et éleveur",Agro-pastorale & urbaine,Islam sunnite,Atlantique (Niger-Congo),Imamat du Fouta-Djallon,"Guinée, Sénégal, Mali"
Malinké / Mandingue,"Malinké, Bamana, Djallonké",4200000,30.0,0.293706,Malinké,"Haute-Guinée (Kankan, Siguiri)",Histoire mandingue,Empire du Mali,Grands agriculteurs et commerçants,Sédentaire,Islam,Mandé,Empire du Mali,"Guinée, Mali, Côte d’Ivoire"
Soussou,Soussou,1820000,13.0,0.127273,Susu,"Basse-Guinée (Conakry, Kindia)",Ethnologie côtière,Chefferies de Basse-Guinée,Peuple côtier fortement urbanisé,Côtière & urbaine,Islam,Kwa (Niger-Congo),Chefferies côtières,Guinée
Kissi,Kissi,700000,5.0,0.048951,Kisi,"Sud-Est (Gueckédou, Kissidougou)",Anthropologie régionale,Chefferies Kissi,Agriculteurs forestiers,Sédentaire,Christianisme + traditions,Mel (Niger-Congo),Chefferies Kissi,"Guinée, Liberia, Sierra Leone"
Guerzé / Kpelle,"Guerzé, Kpelle",1190000,8.5,0.083217,Kpelle,Forêt guinéenne (N’Zérékoré),Ethnologie de la forêt,Chefferies forestières,"Grands cultivateurs, sociétés initiatiques",Forestière,Christianisme + traditions + Islam,Mande / Mel,Chefferies Kpelle,"Guinée, Liberia"
Toma / Loma,"Toma, Loma",560000,4.0,0.039161,Loma,Région de Macenta,Anthropologie locale,Royaumes Toma,Peuple forestier ancien,Forestière,Traditions + Christianisme,Mel,Royaumes Toma,"Guinée, Liberia"
Coniagui & Bassari,"Coniagui, Bassari",210000,1.5,0.014685,"Coniagui, Bassari",Nord-Est,Ethnologie Peuple du Fouta & Guinée,Chefferies locales,Peuples montagnards agro-pastoraux,Montagnarde,Traditions + Christianisme,Niger-Congo,Groupes montagnards,"Guinée, Sénégal"
Bagha,Bagha,140000,1.0,0.00979,Baga,"Littoral (Boffa, Boké)",Sources littorales,Chefferies Baga,"Pêcheurs, spécialistes des masques Nimba",Côtière,Traditions + Christianisme + Islam,Niger-Congo,Chefferies Baga,Guinée
Djallonké,Dialonké,140000,1.0,0.00979,Dialonké,Transition Fouta–Haute Guinée,Histoire Mandé,Populations mandé anciennes,Groupes anciens du plateau,Sédentaire,Islam,Mandé,Anciennes communautés mandé,Guinée
Autres,Communautés diverses,70000,0.5,0.004895,Divers,National,INS estimations,Divers royaumes,Petits groupes variés,Variable,Islam / Christianisme / traditions,Divers,Divers,Guinée
