row_id,platform,surface,publication_id,url,published_date,age_days_at_collection,collected_date,content_group_id,group_method,typologie,hook_or_caption_start,actual_format,format_detail,format_verification,ledger_format,ledger_format_matches_live,duration_s,slide_count,views,views_definition,reach,impressions,likes,comments,shares,saves,followers_gained,link_clicks,avg_watch_s,pct_viewed,core_interactions_per_1000_views,views_vs_platform_format_median,metrics_scope,observation_window,distribution,dq_notes
R001,instagram,instagram,Ddt7x5oqurc,https://www.instagram.com/reel/Ddt7x5oqurc/,2026-09-25,1,2026-09-26,frontieres-appartenance,text-rule,,Pourquoi les pays d'Afrique ont-ils gardé leu,short_video,reel,Business Suite type column,,,133,,1875,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),1612,,48,1,10,27,26,,26 s,,31.5,1.47,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"subject matched from caption text, not URL"
R002,facebook,facebook,2316931765832568,https://www.facebook.com/reel/2316931765832568,2026-09-25,1,2026-09-26,frontieres-appartenance,text-rule,,Pourquoi les pays d'Afrique ont-ils gardé leu,short_video,reel,Business Suite type column,,,133,,770,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),745,,15,0,6,5,2,,17 s,,27.3,1.09,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"subject matched from caption text, not URL"
R003,instagram+facebook(combined),instagram+facebook,Ddty8BbiOyM,https://www.instagram.com/p/Ddty8BbiOyM/,2026-09-25,1,2026-09-26,griot-d-ou-vient-le-nom,ledger-url,mot,D'où vient le nom « griot » ? Ceux qu'on appe,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",carrousel,yes,,,329,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",52,,8,0,2,2,0,0,,,30.4,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows"
R004,facebook,facebook,1380903870695826,https://www.facebook.com/reel/1380903870695826,2026-09-25,1,2026-09-26,manden-mande-mandingue-trois-mots,ledger-url,langue,"D'où vient le nom Mandé ? Manden, Mandé, mand",short_video,reel,Business Suite type column,video,yes,179,,2021,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),2162,,24,0,11,13,12,1,19 s,,17.3,2.85,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R005,instagram,instagram,DdtxN3eKEUR,https://www.instagram.com/reel/DdtxN3eKEUR/,2026-09-25,1,2026-09-26,manden-mande-mandingue-trois-mots,ledger-url,langue,"D'où vient le nom Mandé ? Manden, Mandé, mand",short_video,reel,Business Suite type column,video,yes,178,,2090,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),1786,,105,0,13,31,32,,28 s,,56.5,1.64,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R006,instagram,instagram,Ddtpv6yKDaf,https://www.instagram.com/reel/Ddtpv6yKDaf/,2026-09-25,1,2026-09-26,mali-quelle-histoire,ledger-url,pays,D'où vient le nom Mali ? Le même mot a désign,short_video,reel,Business Suite type column,video,yes,186,,74,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),60,,4,0,0,1,1,,32 s,,54.1,0.06,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R007,facebook,facebook,4460192550908000,https://www.facebook.com/reel/4460192550908000,2026-09-25,1,2026-09-26,mali-quelle-histoire,ledger-url,pays,"D'où vient le nom Mali ? Un empire, une ville",short_video,reel,Business Suite type column,video,yes,187,,2361,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),2366,,21,0,7,7,6,,17 s,,11.9,3.33,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R008,instagram+facebook(combined),instagram+facebook,DdtmHSpiHFj,https://www.instagram.com/p/DdtmHSpiHFj/,2026-09-25,1,2026-09-26,pourquoi-la-meconnaissance-freine-l-afrique,text-rule,introduction,Pourquoi ignorer nos noms freine l'Afrique ?,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,188,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",21,,5,0,1,0,0,0,,,31.9,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R009,instagram+facebook(combined),instagram+facebook,DdtlAfziEDK,https://www.instagram.com/p/DdtlAfziEDK/,2026-09-25,1,2026-09-26,comprendre-afrique-noms,text-rule,introduction,Comprendre l’Afrique à travers les noms Des p,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",,,,,157,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",42,,3,0,1,1,0,0,,,25.5,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows; subject matched from caption text, not URL"
R010,instagram+facebook(combined),instagram+facebook,Ddo3LdXpW7s,https://www.instagram.com/reel/Ddo3LdXpW7s/,2026-09-23,3,2026-09-26,pourquoi-la-meconnaissance-freine-l-afrique,ledger-url,introduction,Pourquoi ignorer nos noms freine l’Afrique ?,short_video,reel,Business Suite type column,video,yes,141,,1810,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",921,,41,1,4,17,8,0,11 s,,25.4,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows"
R011,instagram+facebook(combined),instagram+facebook,Ddm53XToG7y,https://www.instagram.com/reel/Ddm53XToG7y/,2026-09-23,3,2026-09-26,comprendre-afrique-noms,ledger-url,introduction,Comprendre l’Afrique à travers les noms Des p,short_video,reel,Business Suite type column,video,yes,110,,1088,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",420,,31,1,5,5,4,0,14 s,,34,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows"
R012,instagram+facebook(combined),instagram+facebook,Ddjj-qyCJZP,https://www.instagram.com/p/Ddjj-qyCJZP/,2026-09-21,5,2026-09-26,ghana-qui-a-choisi-le-nom,ledger-url,pays,Le nom du Ghana actuel vient-il de l'ancien e,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",carrousel,yes,,,406,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",65,,6,0,6,3,0,1,,,29.6,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows"
R013,facebook,facebook,1427433532659252,https://www.facebook.com/reel/1427433532659252,2026-09-21,5,2026-09-26,swahili-le-nom-de-la-cote,text-rule,langue,Le swahili est-il une langue arabe ? Non : le,short_video,reel,Business Suite type column,,,27,,200,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),156,,5,0,1,0,2,,11 s,,30,0.28,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"subject matched from caption text, not URL"
R014,instagram,instagram,Ddjig2QCNOf,https://www.instagram.com/p/Ddjig2QCNOf/,2026-09-21,5,2026-09-26,swahili-le-nom-de-la-cote,ledger-url,langue,Le swahili est-il une langue arabe ? Non : le,carousel,carousel,Business Suite type column,carrousel,yes,,,226,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),156,,4,0,0,1,0,,,,17.7,1.6,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R015,facebook,facebook,2134904313729448,https://www.facebook.com/reel/2134904313729448,2026-09-21,5,2026-09-26,ethnie-d-ou-vient-le-mot,text-rule,mot,« Ethnie » est-il un mot inventé par la colon,short_video,reel,Business Suite type column,,,23,,174,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),116,,3,1,1,1,0,,15 s,,28.7,0.25,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"subject matched from caption text, not URL"
R016,instagram+facebook(combined),instagram+facebook,Ddjg1LcCKsc,https://www.instagram.com/p/Ddjg1LcCKsc/,2026-09-21,5,2026-09-26,ethnie-d-ou-vient-le-mot,ledger-url,mot,« Ethnie » est-il un mot inventé par la colon,carousel,multi-photo/carousel,"Business Suite type column (multi-media: carousel on IG, multi-photo on FB; slide count not read)",carrousel,yes,,,419,"Meta 'Views' on a combined IG+FB row; equals Instagram's own count in the one case checked, NOT a sum",91,,2,1,5,0,0,0,,,19.1,,combined_IG+FB,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"combined IG+FB row: metrics cannot be split, do not add or compare to single-platform rows"
R017,instagram,instagram,Ddi43-6KvKU,https://www.instagram.com/reel/Ddi43-6KvKU/,2026-09-21,5,2026-09-26,mbappe-d-ou-vient-le-nom,ledger-url,patronyme,D'où vient le nom « Mbappé » ? Ce que nous av,short_video,reel,Business Suite type column,video,yes,59,,737,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),605,,21,4,32,3,3,,16 s,,77.3,0.58,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R018,facebook,facebook,1100010462512862,https://www.facebook.com/reel/1100010462512862,2026-09-21,5,2026-09-26,mbappe-d-ou-vient-le-nom,text-rule,patronyme,D'où vient le nom « Mbappé » ? On le lit comm,short_video,reel,Business Suite type column,,,59,,1659,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),1582,,29,0,2,4,5,,11 s,,18.7,2.34,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"subject matched from caption text, not URL"
R019,instagram,instagram,Ddi4DCdqKqC,https://www.instagram.com/reel/Ddi4DCdqKqC/,2026-09-21,5,2026-09-26,fulbe-sept-noms-un-sens-ouvert,ledger-url,peuple,D'où vient le nom « Fulbe » ? C'est le nom qu,short_video,reel,Business Suite type column,video,yes,155,,360,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),334,,9,0,0,0,2,,13 s,,25,0.28,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R020,facebook,facebook,meta-row-19,,2026-09-21,5,2026-09-26,fulbe-sept-noms-un-sens-ouvert,text-rule,peuple,D'où vient le nom « Fulbe » ? C'est le nom qu,short_video,reel,Business Suite type column,,,156,,709,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),753,,16,0,1,0,4,,18 s,,24,1,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"no permalink captured; subject matched from caption text, not URL"
R021,instagram,instagram,DdiqtPTqFik,https://www.instagram.com/reel/DdiqtPTqFik/,2026-09-21,5,2026-09-26,swahili-le-nom-de-la-cote,text-rule,langue,D'où vient le nom « swahili » ? On dit swahil,short_video,reel,Business Suite type column,,,83,,6926,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),5288,,339,20,220,134,178,,36 s,,83.6,5.44,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"subject matched from caption text, not URL"
R022,facebook,facebook,meta-row-21,,2026-09-21,5,2026-09-26,swahili-le-nom-de-la-cote,text-rule,langue,D'où vient le nom « swahili » ? Le mot est ar,short_video,reel,Business Suite type column,,,84,,411,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),398,,12,0,0,3,0,,14 s,,29.2,0.58,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"no permalink captured; subject matched from caption text, not URL"
R023,instagram,instagram,DdiqXAWKY3F,https://www.instagram.com/reel/DdiqXAWKY3F/,2026-09-21,5,2026-09-26,ghana-qui-a-choisi-le-nom,ledger-url,pays,"D'où vient le nom « Ghana » ? Aujourd'hui, 21",short_video,reel,Business Suite type column,video,yes,150,,665,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),552,,30,0,2,6,4,,55 s,,48.1,0.52,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),
R024,facebook,facebook,meta-row-23,,2026-09-21,5,2026-09-26,ghana-qui-a-choisi-le-nom,text-rule,pays,D'où vient le nom « Ghana » ? Trois versions,short_video,reel,Business Suite type column,,,151,,2371,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),2264,,49,0,11,16,17,,34 s,,25.3,3.34,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"no permalink captured; subject matched from caption text, not URL"
R025,facebook,facebook,meta-row-24,,2026-09-21,5,2026-09-26,goma-un-nom-sans-source,text-rule,lieu,D'où vient le nom « Goma » ? On dit : du tamb,short_video,reel,Business Suite type column,,,138,,275,Meta 'Views' (plays incl. replays; for carousels the counting unit is not documented),252,,2,0,1,0,0,,8 s,,10.9,0.39,single_platform,lifetime (age in age_days_at_collection),organic (no boost label seen; paid tab not opened),"no permalink captured; subject matched from caption text, not URL"
