id_pays,nom_pays,population_totale,source,source_url,annee
AGO,"République d'Angola",39000000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/AO",2025
BDI,"République du Burundi",14400000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/BI",2025
BEN,"République du Bénin",14800000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/BJ",2025
BFA,"Burkina Faso",24100000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/BF",2025
BWA,"République du Botswana",2600000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/BW",2025
CAF,"République centrafricaine",5500000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/CF",2025
CIV,"République de Côte d'Ivoire",32700000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/CI",2025
CMR,"République du Cameroun",29900000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/CM",2025
COD,"République démocratique du Congo",112800000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/CD",2025
COM,"Union des Comores",900000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/KM",2025
CPV,"République du Cabo Verde",500000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/CV",2025
DJI,"République de Djibouti",1200000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/DJ",2025
DZA,"République algérienne démocratique et populaire",47400000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/DZ",2025
EGY,"République arabe d'Égypte",118400000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/EG",2025
ERI,"État d'Érythrée",3600000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/ER",2025
ETH,"République fédérale démocratique d'Éthiopie",135500000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/ET",2025
GAB,"République gabonaise",2600000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/GA",2025
GHA,"République du Ghana",35100000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/GH",2025
GIN,"République de Guinée",15100000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/GN",2025
GMB,"République de Gambie",2800000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/GM",2025
GNB,"République de Guinée-Bissau",2300000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/GW",2025
GNQ,"République de Guinée équatoriale",1900000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/GQ",2025
KEN,"République du Kenya",57500000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/KE",2025
LBR,"République du Libéria",5700000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/LR",2025
LBY,"État de Libye",7500000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/LY",2025
LSO,"Royaume du Lesotho",2400000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/LS",2025
MAR,"Royaume du Maroc",38400000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/MA",2025
MLI,"République du Mali",25200000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/ML",2025
MOZ,"République du Mozambique",35600000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/MZ",2025
MRT,"République Islamique de Mauritanie",5300000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/MR",2025
MUS,"République de Maurice",1300000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/MU",2025
MWI,"République du Malawi",22200000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/MW",2025
NAM,"République de Namibie",3100000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/NA",2025
NER,"République du Niger",27900000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/NE",2025
NGA,"République fédérale du Nigeria",237500000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/NG",2025
RWA,"République du Rwanda",14600000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/RW",2025
SDN,"République du Soudan",51700000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/SD",2025
SEN,"République du Sénégal",18900000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/SN",2025
SLE,"République de Sierra Leone",8800000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/SL",2025
SOM,"République fédérale de Somalie",19700000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/SO",2025
SSD,"République du Soudan du Sud",12200000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/SS",2025
STP,"République démocratique de São Tomé-et-Príncipe",200000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/ST",2025
SWZ,"Royaume d'Eswatini",1300000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/SZ",2025
SYC,"République des Seychelles",100000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/SC",2025
TCD,"République du Tchad",21000000,"UNFPA – World Population Dashboard","https://www.unfpa.org/data/world-population/TD",2025
